PERMNO,date,NCUSIP,TICKER,COMNAM,TSYMBOL,PERMCO,CUSIP,PRC,vwretx,ewretx,sprtrn
83435,20151026,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.4,-0.00284,-0.005899,-0.001913
83435,20151027,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.3,-0.004493,-0.010882,-0.002554
83435,20151028,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.185,0.013514,0.016437,0.01184
83435,20151029,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.05,-0.002359,-0.005811,-0.00045
83435,20151030,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.62,-0.004028,-0.001268,-0.00481
83435,20151102,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.27,0.012426,0.015115,0.011874
83435,20151103,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.72,0.003061,0.005922,0.002728
83435,20151104,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.07,-0.003682,-0.002338,-0.003545
83435,20151105,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.12,-0.001565,-0.003337,-0.001132
83435,20151106,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.2,-0.000487,0.000516,-0.000348
83435,20151109,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.68,-0.009786,-0.009183,-0.009823
83435,20151110,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.99,0.001075,-0.00271,0.001511
83435,20151111,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.38,-0.004136,-0.006495,-0.003228
83435,20151112,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.23,-0.014721,-0.013716,-0.01399
83435,20151113,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.19,-0.009798,-0.005673,-0.011207
83435,20151116,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.945,0.013624,0.006239,0.014903
83435,20151117,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.86,-0.001528,-0.004381,-0.001339
83435,20151118,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.98,0.015212,0.00942,0.016162
83435,20151119,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.625,-0.00104,-0.000874,-0.001123
83435,20151120,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.11,0.002897,0.002414,0.00381
83435,20151123,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.36,-0.000717,0.002141,-0.001235
83435,20151124,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.96,0.002335,0.005581,0.001222
83435,20151125,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.16,0.001053,0.004923,-0.000129
83435,20151127,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.94,0.000597,0.002006,0.000594
83435,20151130,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.81,-0.003963,-0.000318,-0.004641
83435,20151201,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.71,0.009435,0.006106,0.010681
83435,20151202,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.65,-0.01093,-0.009542,-0.010996
83435,20151203,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.34,-0.014358,-0.010796,-0.014374
83435,20151204,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.91,0.016442,0.00404,0.020526
83435,20151207,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.68,-0.009852,-0.016444,-0.00699
83435,20151208,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.85,-0.006194,-0.004668,-0.00649
83435,20151209,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.4,-0.006682,-0.004485,-0.007739
83435,20151210,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.63,0.001951,0.002147,0.002251
83435,20151211,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.91,-0.020044,-0.01973,-0.019423
83435,20151214,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.59,0.001544,-0.009669,0.004756
83435,20151215,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.03,0.011288,0.010058,0.010619
83435,20151216,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.78,0.014822,0.013147,0.014515
83435,20151217,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.23,-0.014752,-0.008277,-0.015041
83435,20151218,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.95,-0.015188,-0.005378,-0.017797
83435,20151221,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.965,0.006882,0.004139,0.007778
83435,20151222,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.19,0.008761,0.007877,0.008817
83435,20151223,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.45,0.01357,0.016178,0.012418
83435,20151224,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.11,-0.00094,0.001549,-0.001599
83435,20151228,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.6,-0.003346,-0.007583,-0.002179
83435,20151229,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.04,0.009734,0.005363,0.01063
83435,20151230,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.37,-0.00749,-0.006844,-0.007217
83435,20151231,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.26,-0.008228,-0.002053,-0.009412
83435,20160104,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,31.4,-0.015063,-0.012423,-0.015304
83435,20160105,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.2,0.001395,0.000334,0.002012
83435,20160106,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.16,-0.014091,-0.013516,-0.013115
83435,20160107,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.16,-0.023984,-0.024847,-0.0237
83435,20160108,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.63,-0.01093,-0.010305,-0.010838
83435,20160111,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.17,-0.001716,-0.011468,0.000853
83435,20160112,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.69,0.006056,-0.002857,0.007803
83435,20160113,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.44,-0.025972,-0.025572,-0.024965
83435,20160114,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.32,0.015431,0.011735,0.016696
83435,20160115,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.14,-0.021733,-0.021055,-0.021599
83435,20160119,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.74,-0.002426,-0.011705,0.000532
83435,20160120,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,28.78,-0.010729,-0.006135,-0.011694
83435,20160121,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.31,0.005661,0.0097,0.005195
83435,20160122,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.75,0.022463,0.024259,0.020284
83435,20160125,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.78,-0.016775,-0.015939,-0.015638
83435,20160126,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.98,0.015936,0.016776,0.014144
83435,20160127,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.69,-0.010705,-0.008016,-0.010863
83435,20160128,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,28.75,0.004972,0.003015,0.005529
83435,20160129,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.51,0.024526,0.022879,0.02476
83435,20160201,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.57,-0.000414,-0.001381,-0.000443
83435,20160202,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.06,-0.020039,-0.019015,-0.018743
83435,20160203,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,27.68,0.005447,0.00571,0.004992
83435,20160204,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.15,0.003439,0.007383,0.001527
83435,20160205,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,27.97,-0.019659,-0.017861,-0.018481
83435,20160208,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,27.05,-0.01704,-0.01991,-0.014154
83435,20160209,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,26.82,-0.003222,-0.010404,-0.000664
83435,20160210,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,27.1,-0.000022,-0.000659,-0.000189
83435,20160211,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,26.76,-0.012157,-0.011119,-0.012301
83435,20160212,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,27.04,0.020063,0.017301,0.019518
83435,20160216,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.28,0.017454,0.018524,0.016517
83435,20160217,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.37,0.018002,0.020271,0.01648
83435,20160218,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,29.42,-0.004292,-0.003216,-0.004666
83435,20160219,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.04,-0.000348,-0.000201,-0.000026
83435,20160222,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,31.17,0.014318,0.014089,0.014454
83435,20160223,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.67,-0.011847,-0.010447,-0.012454
83435,20160224,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,30.95,0.00493,0.005348,0.00444
83435,20160225,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,31.36,0.01085,0.00592,0.011348
83435,20160226,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,31.37,0.000176,0.00673,-0.00187
83435,20160229,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,31.79,-0.006005,0.001094,-0.008121
83435,20160301,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.8,0.022248,0.015575,0.023869
83435,20160302,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.91,0.005535,0.012847,0.004094
83435,20160303,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.88,0.005506,0.011074,0.003499
83435,20160304,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.86,0.004036,0.009311,0.003306
83435,20160307,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.96,0.003176,0.015412,0.000885
83435,20160308,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.93,-0.013711,-0.018305,-0.01124
83435,20160309,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.51,0.005409,0.005535,0.005052
83435,20160310,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,32.82,-0.001344,-0.004476,0.000156
83435,20160311,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.81,0.017184,0.016001,0.016396
83435,20160314,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.58,-0.001643,0.00011,-0.001261
83435,20160315,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,33.26,-0.004533,-0.012691,-0.001837
83435,20160316,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.01,0.007398,0.008616,0.0056
83435,20160317,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.275,0.00823,0.011578,0.006595
83435,20160318,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.17,0.00377,0.00461,0.004406
83435,20160321,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.47,0.000453,0.001297,0.000986
83435,20160322,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.41,-0.000487,-0.000163,-0.000877
83435,20160323,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.8,-0.009558,-0.016452,-0.006386
83435,20160324,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,34.86,-0.000157,0.001286,-0.000378
83435,20160328,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.23,0.000788,-0.000812,0.000545
83435,20160329,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.32,0.010804,0.012987,0.008817
83435,20160330,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.56,0.004391,0.004428,0.00435
83435,20160331,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.81,-0.000893,0.001549,-0.00204
83435,20160401,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.48,0.004588,0.001341,0.006331
83435,20160404,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.02,-0.004542,-0.004679,-0.003208
83435,20160405,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.41,-0.010026,-0.007967,-0.010145
83435,20160406,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.66,0.010813,0.010728,0.010508
83435,20160407,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.17,-0.011681,-0.008769,-0.011976
83435,20160408,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.07,0.00433,0.006489,0.002787
83435,20160411,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.48,-0.001833,0.00251,-0.00274
83435,20160412,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.66,0.01038,0.010821,0.009662
83435,20160413,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.31,0.011172,0.013833,0.01004
83435,20160414,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.17,-0.000524,-0.000212,0.000173
83435,20160415,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.51,-0.000559,0.000163,-0.000984
83435,20160418,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.52,0.006761,0.006342,0.006541
83435,20160419,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.33,0.004488,0.006416,0.003085
83435,20160420,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.84,0.001172,0.001998,0.000762
83435,20160421,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.67,-0.005322,-0.002472,-0.005194
83435,20160422,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.48,0.00183,0.005719,0.000048
83435,20160425,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.23,-0.00279,-0.004853,-0.001812
83435,20160426,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.11,0.003359,0.006555,0.001873
83435,20160427,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.95,0.002518,0.004707,0.001649
83435,20160428,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.59,-0.008664,-0.005158,-0.009231
83435,20160429,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.6,-0.004496,-0.003815,-0.005063
83435,20160502,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.53,0.006716,0.001859,0.00781
83435,20160503,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.01,-0.011131,-0.012739,-0.008677
83435,20160504,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36,-0.006414,-0.006657,-0.005937
83435,20160505,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.94,-0.000678,-0.002922,-0.000239
83435,20160506,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.23,0.003393,0.001343,0.003175
83435,20160509,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.18,-0.000221,-0.00215,0.000753
83435,20160510,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.44,0.012279,0.008429,0.012484
83435,20160511,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.37,-0.008684,-0.005939,-0.009562
83435,20160512,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.03,-0.001033,-0.007466,-0.00017
83435,20160513,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.48,-0.008045,-0.004805,-0.008478
83435,20160516,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.48,0.010137,0.008778,0.009797
83435,20160517,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.27,-0.008841,-0.007608,-0.009411
83435,20160518,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.24,-0.000942,-0.001535,0.000205
83435,20160519,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.02,-0.003816,-0.006363,-0.003707
83435,20160520,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.5,0.007512,0.010308,0.006019
83435,20160523,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.66,-0.001825,0.001932,-0.002085
83435,20160524,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.53,0.013108,0.011246,0.013681
83435,20160525,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.59,0.007252,0.008093,0.006975
83435,20160526,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.76,-0.000251,-0.000812,-0.00021
83435,20160527,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.82,0.004254,0.004779,0.004287
83435,20160531,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.94,-0.000396,0.003259,-0.001
83435,20160601,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.65,0.002195,0.004983,0.00113
83435,20160602,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.15,0.003559,0.004019,0.002825
83435,20160603,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.6,-0.001939,-0.0001,-0.002912
83435,20160606,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.07,0.006118,0.010954,0.004897
83435,20160607,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.73,0.002106,0.004172,0.001289
83435,20160608,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.97,0.003375,0.006397,0.003309
83435,20160609,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.35,-0.002855,-0.005696,-0.001718
83435,20160610,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.83,-0.011245,-0.01376,-0.009175
83435,20160613,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.47,-0.008407,-0.009941,-0.008115
83435,20160614,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.4,-0.002909,-0.005369,-0.001799
83435,20160615,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.32,-0.000573,0.00375,-0.001841
83435,20160616,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.39,0.001789,-0.002328,0.003133
83435,20160617,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.94,-0.001856,0.001379,-0.003258
83435,20160620,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.29,0.007213,0.009902,0.005808
83435,20160621,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.4,0.002174,-0.001322,0.002712
83435,20160622,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.36,-0.002003,-0.002512,-0.001652
83435,20160623,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.78,0.014412,0.014291,0.013364
83435,20160624,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.24,-0.036623,-0.030482,-0.03592
83435,20160627,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,35.22,-0.020307,-0.025621,-0.018097
83435,20160628,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.04,0.017775,0.018669,0.01777
83435,20160629,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,36.86,0.0175,0.016106,0.017033
83435,20160630,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.56,0.013159,0.009792,0.013565
83435,20160701,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.99,0.002848,0.007543,0.001949
83435,20160705,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.5,-0.008273,-0.011121,-0.006848
83435,20160706,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.51,0.005139,0.004258,0.005353
83435,20160707,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.52,-0.000777,0.001,-0.000872
83435,20160708,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.74,0.015463,0.016875,0.015253
83435,20160711,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.96,0.004203,0.006821,0.003409
83435,20160712,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.89,0.007918,0.010654,0.007009
83435,20160713,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.64,-0.000321,-0.002653,0.000135
83435,20160714,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.96,0.004658,0.002005,0.005259
83435,20160715,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.72,-0.000803,0.001017,-0.000929
83435,20160718,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,37.95,0.002567,0.003134,0.002382
83435,20160719,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.17,-0.002378,-0.004779,-0.001435
83435,20160720,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.9,0.004528,0.006102,0.00427
83435,20160721,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.85,-0.003343,-0.00136,-0.003612
83435,20160722,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.38,0.004465,0.00451,0.004554
83435,20160725,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.32,-0.003166,-0.003708,-0.003011
83435,20160726,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.76,0.001593,0.004146,0.000323
83435,20160727,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.66,-0.001344,0.001809,-0.001199
83435,20160728,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.52,0.001539,-0.000161,0.001606
83435,20160729,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.19,0.002574,0.003065,0.001631
83435,20160801,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.8,-0.002287,-0.002278,-0.00127
83435,20160802,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.57,-0.007118,-0.008453,-0.006362
83435,20160803,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.39,0.004106,0.007069,0.003134
83435,20160804,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.92,0.000583,0.00236,0.000213
83435,20160805,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,38.99,0.008039,0.008378,0.008603
83435,20160808,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.24,0.000022,0.002402,-0.000907
83435,20160809,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.24,0.001029,0.000748,0.00039
83435,20160810,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,39.93,-0.002849,-0.004929,-0.002865
83435,20160811,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,41.27,0.00464,0.00497,0.004735
83435,20160812,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.94,-0.00055,0.000383,-0.000796
83435,20160815,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.67,0.003919,0.006934,0.002793
83435,20160816,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.49,-0.005615,-0.003759,-0.005479
83435,20160817,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.7,0.000826,-0.00151,0.001869
83435,20160818,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,42.9,0.003354,0.005707,0.0022
83435,20160819,98433210,YHOO,YAHOO INC,YHOO,14521,98433210,43.02,-0.001928,-0.00158,-0.00144
